PROPFIRM,,,,,,,,EVALUATION,,,,,,,,,,FUNDED,,,,,,,,,,,,,,,,,,,
#,Prop firm,Headquarters,Since,Nom du compte,Taille,Sizing,Billing,Regular Price,Discount Price,Code promo,Overnight / Overweek,Trading News,Drawdown type,Drawdown,DLL,Target Eval,Rules Eval,Activation Fees,Overweek / Overnight,Trading News,Drawdown type,Drawdown,Tiers Level,,,Buffer,Payout mini,Payout maxi,,,,,,Payout requirements,,,Profit Split
,,,,,,,,,,,,,,,,,,,,,,,$1 500 - $2 999,3 minis / 30 micros,"$1 000,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$3 000 - $5 999,4 minis / 40 micros,"$2 000,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $6 000,4 minis / 40 micros,"$3 000,00",,,,,,,,,,,,
5,Apex Trader Funding,US,2022,Apex EOD,100k,8 minis / 80 micros,OTP,$599,"$59,90",SAVENOW,No,Yes,EOD,$3 000,$1 500,$6 000,-,$139,No,Yes,EOD,$3 000,$0 - $1 999,3 minis / 30 micros,"$1 750,00",$3 100,$500,$2 000,$2 500,$3 000,$3 000,$4 000,$4 000,50%,5,$250,100%
,,,,,,,,,,,,,,,,,,,,,,,$2 000 - $2 999,4 minis / 40 micros,"$1 750,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$3 000 - $4 999,5 minis / 50 micros,"$1 750,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$5 000 - $9 999,6 minis / 60 micros,"$2 500,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $10 000,6 minis / 60 micros,"$3 500,00",,,,,,,,,,,,
6,Apex Trader Funding,US,2022,Apex Trailing,100k,8 minis / 80 micros,OTP,$399,"$39,90",SAVENOW,No,Yes,Trail,$3 000,-,$6 000,-,$119,No,Yes,Trail,$3 000,$0 - $1 999,3 minis / 30 micros,"$1 750,00",$3 100,$500,$2 000,$2 500,$3 000,$3 000,$4 000,$4 000,50%,5,$250,100%
,,,,,,,,,,,,,,,,,,,,,,,$2 000 - $2 999,4 minis / 40 micros,"$1 750,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$3 000 - $4 999,5 minis / 50 micros,"$1 750,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$5 000 - $9 999,6 minis / 60 micros,"$2 500,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $10 000,6 minis / 60 micros,"$3 500,00",,,,,,,,,,,,
7,Apex Trader Funding,US,2022,Apex EOD,150k,12 minis / 120 micros,OTP,$799,"$79,90",SAVENOW,No,Yes,EOD,$4 000,$2 000,$9 000,-,$159,No,Yes,EOD,$4 000,$0 - $1 999,4 minis / 40 micros,"$2 500,00",$4 100,$500,$2 500,$3 000,$3 000,$4 000,$4 000,$5 000,50%,5,$300,100%
,,,,,,,,,,,,,,,,,,,,,,,$2 000 - $2 999,5 minis / 50 micros,"$2 500,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$3 000 - $4 999,7 minis / 70 micros,"$2 500,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$5 000 - $9 999,10 minis / 100 micros,"$3 000,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $10 000,10 minis / 100 micros,"$4 000,00",,,,,,,,,,,,
8,Apex Trader Funding,US,2022,Apex Trailing,150k,12 minis / 120 micros,OTP,$599,"$59,90",SAVENOW,No,Yes,Trail,$4 000,-,$9 000,-,$139,No,Yes,Trail,$4 000,$0 - $1 999,4 minis / 40 micros,"$2 500,00",$4 100,$500,$2 500,$3 000,$3 000,$4 000,$4 000,$5 000,50%,5,$300,100%
,,,,,,,,,,,,,,,,,,,,,,,$2 000 - $2 999,5 minis / 50 micros,"$2 500,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$3 000 - $4 999,7 minis / 70 micros,"$2 500,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,$5 000 - $9 999,10 minis / 100 micros,"$3 000,00",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,> $10 000,10 minis / 100 micros,"$4 000,00",,,,,,,,,,,,
